Issuer Name,Industry,Country,Revenue,EBITDA,Total Debt,Interest Expense,Current Assets,Current Liabilities
Acme Corporation,Technology,USA,10000000,2500000,5000000,250000,3000000,1500000
Global Industries,Manufacturing,Germany,50000000,12000000,30000000,1500000,15000000,8000000
Tech Innovations Inc,Technology,USA,20000000,6000000,8000000,400000,7000000,4000000
Finance Plus Group,Financial Services,UK,30000000,9000000,15000000,750000,10000000,6000000
Green Energy Co,Energy,Canada,15000000,4000000,12000000,600000,5000000,3000000
Alpha Manufacturing,Manufacturing,USA,8000000,2000000,6000000,300000,2500000,1500000
Beta Retail Chain,Retail,USA,12000000,3000000,7000000,350000,4000000,2500000
Gamma Construction,Construction,Australia,18000000,4500000,13000000,650000,6000000,4000000
Delta Airlines Co,Transportation,USA,25000000,7500000,20000000,1000000,8000000,5000000
Epsilon Pharma,Healthcare,Switzerland,40000000,12000000,16000000,800000,14000000,7000000
Zeta Automotive,Automotive,Japan,35000000,10500000,25000000,1250000,12000000,8000000
Eta Telecom,Telecommunications,South Korea,28000000,8400000,18000000,900000,9000000,5500000
Theta Foods,Food & Beverage,USA,16000000,4800000,9000000,450000,5500000,3500000
Iota Chemicals,Chemicals,Germany,22000000,6600000,14000000,700000,7500000,4500000
Kappa Insurance,Insurance,UK,19000000,5700000,10000000,500000,6500000,4000000
